register	file	path	english
b2b	tpl:FreeStand — Japan Demo Hub		FreeStand — Japan Demo Hub
b2b	tpl:FreeStand — Japan Demo Hub		Demo of Demos · Japan
b2b	tpl:FreeStand — Japan Demo Hub		☰ Demos
b2b	tpl:FreeStand — Japan Demo Hub		keys step through each demo.⟦0⟧Options inside the LINE phone are tappable.
b2b	tpl:FreeStand — Japan Demo Hub		Previous
consumer	tpl:FreeStand — Japan Demo Hub		Next
b2b	tpl:FreeStand Analytics — Japan		FreeStand Analytics — Japan
b2b	tpl:FreeStand Analytics — Japan	title	FreeStand Analytics
b2b	tpl:FreeStand Analytics — Japan	MENU	Analytics
b2b	tpl:FreeStand Analytics — Japan	MENU	Overview
b2b	tpl:FreeStand Analytics — Japan	MENU	Live Analytics
b2b	tpl:FreeStand Analytics — Japan	MENU	Data Visualisation
b2b	tpl:FreeStand Analytics — Japan	MENU	Statistical Analysis
b2b	tpl:FreeStand Analytics — Japan	MENU	Audience
b2b	tpl:FreeStand Analytics — Japan	MENU	Saved Audiences
b2b	tpl:FreeStand Analytics — Japan	MENU	All Claimants
b2b	tpl:FreeStand Analytics — Japan	MENU	Dashboards
b2b	tpl:FreeStand Analytics — Japan	MENU	All Charts
b2b	tpl:FreeStand Analytics — Japan	MENU	Campaign Performance Overview
b2b	tpl:FreeStand Analytics — Japan	MENU	Geographic Performance
b2b	tpl:FreeStand Analytics — Japan	MENU	Consumer Profile & Survey Insights
b2b	tpl:FreeStand Analytics — Japan	MENU	Feedback Deep Dive
b2b	tpl:FreeStand Analytics — Japan	MENU	Purchase Intent Deep Dive
b2b	tpl:FreeStand Analytics — Japan	MENU	Channel & Acquisition Analysis
b2b	tpl:FreeStand Analytics — Japan	MENU	+ New Dashboard
b2b	tpl:FreeStand Analytics — Japan	PAGES/perf/t	Dashboard
b2b	tpl:FreeStand Analytics — Japan	drawMenu/innerHTML	Consolidated
b2b	ana-insights	INS/overview	Live numbers
b2b	ana-insights	INS/overview	Interactions → qualified → claims → deliveries → feedback → purchase intent, updating as customers come in.
b2b	ana-insights	INS/overview/t	Live Numbers
b2b	ana-insights	INS/overview	UTM breakdown for the media agency
b2b	ana-insights	INS/overview	Every source, platform and medium as a full funnel — the agency sees which ad actually produced claims and purchase intent.
b2b	ana-insights	INS/overview/t	UTM Source Breakdown
b2b	ana-insights	INS/live	Claims as they happen
b2b	ana-insights	INS/live	Daily claims, deliveries and feedback — volume by day or cumulative, for the whole campaign.
b2b	ana-insights	INS/live/t	Live analytics
b2b	ana-insights	INS/live	The live feed
b2b	ana-insights	INS/live	Every row carries the source, the geo, the answer the customer gave and the SKU the rule picked — no extra questions asked.
b2b	ana-insights	INS/live/t	Live feed
b2b	ana-insights	INS/dataviz	Every question, charted
b2b	ana-insights	INS/dataviz	What the audience actually answered — each question becomes a tag on the customer profile.
b2b	ana-insights	INS/dataviz	Channel funnels
b2b	ana-insights	INS/dataviz	Each UTM source as its own funnel — which channel brings people who claim, and which brings people who buy.
b2b	ana-insights	INS/dataviz/t	UTM sources
b2b	ana-insights	INS/stats	What drives purchase intent
b2b	ana-insights	INS/stats	A model over every answer: which segment is most likely to buy, which to deprioritise, and what to target in the next wave.
b2b	ana-insights	INS/stats/t	What Drives Purchase Intent
b2b	ana-insights	INS/perf	Executive summary
b2b	ana-insights	INS/perf	Is the campaign performing? Health, conversion and weekly trend for the brand lead — one page.
b2b	ana-insights	INS/perf/t	Campaign Health at a Glance
b2b	ana-insights	INS/audiences	Audiences across campaigns
b2b	ana-insights	INS/audiences	Every claimant the brand has ever sampled sits in one pool — saved as dynamic segments that update themselves as new claims arrive.
b2b	ana-insights	INS/claimants	View, save, export
b2b	ana-insights	INS/claimants	Filter the pool by campaign, answer, SKU, feedback or purchase intent → save it as an audience → export to Meta Custom Audiences, Google Ads or LINE Ads.
b2b	ana-insights	showInsights/innerHTML	WHAT THIS TAB TELLS THE BRAND
b2b	ana-insights	showInsights/innerHTML	Show me
b2b	ana-insights		Nobody hits a dead end
b2b	ana-insights		When campaign stock ran out, visitors were waitlisted, enrolled and given a coupon — counted here as its own metric.
b2b	ana-insights	t	Waitlisted when the campaign
b2b	ana-insights		Existing customers, kept
b2b	ana-insights		Visitors who already buy the brand are enrolled into the loyalty program instead of being sent a sample — counted here as its own metric.
b2b	ana-data	CAMPAIGNS/days	8 Jan, 2026
b2b	ana-data	CAMPAIGNS/days	26 Jan, 2026
b2b	ana-data	CAMPAIGNS/days	13 Feb, 2026
b2b	ana-data	CAMPAIGNS/days	3 Mar, 2026
b2b	ana-data	CAMPAIGNS/days	23 Mar, 2026
b2b	ana-data	CAMPAIGNS/days	11 Apr, 2026
b2b	ana-data	CAMPAIGNS/days	29 Apr, 2026
b2b	ana-data	CAMPAIGNS/days	17 May, 2026
b2b	ana-data	CAMPAIGNS/days	4 Jun, 2026
b2b	ana-data	CAMPAIGNS/days	22 Jun, 2026
b2b	ana-data	CAMPAIGNS/days	10 Jul, 2026
